claim,schedule,seed_lane,stream_seed,d,n,T,beta1,beta2,eta,B0,avg_grad_l1,avg_grad_l2
4,paper,11,1196839719764103651,32,8,1024,0.009843133202303699,0.009843133202303699,0.0017400365588678506,3,0.053558689093542805,0.012127611944792414
4,paper,12,1196839719764103651,32,8,1024,0.009843133202303699,0.009843133202303699,0.0017400365588678506,3,0.04140172210753956,0.009595477141701777
4,paper,13,1196839719764103651,32,8,1024,0.009843133202303699,0.009843133202303699,0.0017400365588678506,3,0.04476383865866428,0.010462142982085643
4,paper,14,1196839719764103651,32,8,1024,0.009843133202303699,0.009843133202303699,0.0017400365588678506,3,0.04886748926663697,0.011172974659887907
4,paper,15,1196839719764103651,32,8,1024,0.009843133202303699,0.009843133202303699,0.0017400365588678506,3,0.048499837418877,0.011366797542899496
4,paper,0,3238068140673430189,32,8,2048,0.006200785359250781,0.006200785359250781,0.0010961543440521225,4,0.035606603138210485,0.008241505581950317
4,paper,1,3238068140673430189,32,8,2048,0.006200785359250781,0.006200785359250781,0.0010961543440521225,4,0.034395206869404865,0.007830152792891934
4,paper,2,3238068140673430189,32,8,2048,0.006200785359250781,0.006200785359250781,0.0010961543440521225,4,0.03968613764067208,0.00922882800505651
4,paper,3,3238068140673430189,32,8,2048,0.006200785359250781,0.006200785359250781,0.0010961543440521225,4,0.03576990909027024,0.008156521441505906
4,paper,4,3238068140673430189,32,8,2048,0.006200785359250781,0.006200785359250781,0.0010961543440521225,4,0.03361327858879143,0.007982432039821973
4,paper,5,3238068140673430189,32,8,2048,0.006200785359250781,0.006200785359250781,0.0010961543440521225,4,0.03480097626713256,0.008009056091921539
4,paper,6,3238068140673430189,32,8,2048,0.006200785359250781,0.006200785359250781,0.0010961543440521225,4,0.03323029273183191,0.007775663737509077
4,paper,7,3238068140673430189,32,8,2048,0.006200785359250781,0.006200785359250781,0.0010961543440521225,4,0.03594017071780121,0.008115404446357347
4,paper,8,3238068140673430189,32,8,2048,0.006200785359250781,0.006200785359250781,0.0010961543440521225,4,0.03718419310699335,0.00860460696228722
4,paper,9,3238068140673430189,32,8,2048,0.006200785359250781,0.006200785359250781,0.0010961543440521225,4,0.03424377773874001,0.007818732384280975
4,paper,10,3238068140673430189,32,8,2048,0.006200785359250781,0.006200785359250781,0.0010961543440521225,4,0.03727725666494737,0.00847154173889847
4,paper,11,3238068140673430189,32,8,2048,0.006200785359250781,0.006200785359250781,0.0010961543440521225,4,0.034762387209699576,0.00796132249071508
4,paper,12,3238068140673430189,32,8,2048,0.006200785359250781,0.006200785359250781,0.0010961543440521225,4,0.03217821450476622,0.007577571672999477
4,paper,13,3238068140673430189,32,8,2048,0.006200785359250781,0.006200785359250781,0.0010961543440521225,4,0.035187955261313214,0.008115849728585433
4,paper,14,3238068140673430189,32,8,2048,0.006200785359250781,0.006200785359250781,0.0010961543440521225,4,0.034546597431791205,0.00799575768120439
4,paper,15,3238068140673430189,32,8,2048,0.006200785359250781,0.006200785359250781,0.0010961543440521225,4,0.03480097417409101,0.007946684764126152
4,paper,0,11702181200962210341,128,2,256,0.015625000000000003,0.015625000000000003,0.001381067932004976,4,0.25117371875940087,0.0287307037050461
4,paper,1,11702181200962210341,128,2,256,0.015625000000000003,0.015625000000000003,0.001381067932004976,4,0.24526545332970304,0.027835467924773413
4,paper,2,11702181200962210341,128,2,256,0.015625000000000003,0.015625000000000003,0.001381067932004976,4,0.24868050389439406,0.027840608165330218
4,paper,3,11702181200962210341,128,2,256,0.015625000000000003,0.015625000000000003,0.001381067932004976,4,0.24848454129323796,0.028178215158246287
4,paper,4,11702181200962210341,128,2,256,0.015625000000000003,0.015625000000000003,0.001381067932004976,4,0.25831545020616153,0.029119131180558235
